"Sample","Population","Country","Region"
"ERR582304","WSEA","Thailand","Asia"
"ERR582307","WSEA","Thailand","Asia"
"ERR582311","WSEA","Thailand","Asia"
"ERR582313","WSEA","Thailand","Asia"
"ERR582315","WSEA","Thailand","Asia"
"ERR582317","WSEA","Thailand","Asia"
"ERR582320","WSEA","Thailand","Asia"
"ERR582321","WSEA","Thailand","Asia"
"ERR582322","WSEA","Thailand","Asia"
"ERR582324","WSEA","Thailand","Asia"
"ERR582326","WSEA","Thailand","Asia"
"ERR582327","WSEA","Thailand","Asia"
"ERR582329","WSEA","Thailand","Asia"
"ERR582331","WSEA","Thailand","Asia"
"ERR582332","WSEA","Thailand","Asia"
"ERR582336","WSEA","Thailand","Asia"
"ERR582337","WSEA","Thailand","Asia"
"ERR582338","WSEA","Thailand","Asia"
"ERR582339","WSEA","Thailand","Asia"
"ERR582342","WSEA","Thailand","Asia"
"ERR582345","WSEA","Thailand","Asia"
"ERR582348","WSEA","Thailand","Asia"
"ERR582350","WSEA","Thailand","Asia"
"ERR582352","WSEA","Thailand","Asia"
"ERR582353","WSEA","Thailand","Asia"
"ERR582356","WSEA","Thailand","Asia"
"ERR582360","WSEA","Thailand","Asia"
"ERR582363","WSEA","Thailand","Asia"
"ERR582364","WSEA","Thailand","Asia"
"ERR582365","WSEA","Thailand","Asia"
"ERR582366","WSEA","Thailand","Asia"
"ERR582368","WSEA","Thailand","Asia"
"ERR582369","WSEA","Thailand","Asia"
"ERR582370","WSEA","Thailand","Asia"
"ERR582371","WSEA","Thailand","Asia"
"ERR582373","WSEA","Thailand","Asia"
"ERR582374","WSEA","Thailand","Asia"
"ERR582375","WSEA","Thailand","Asia"
"ERR582376","WSEA","Thailand","Asia"
"ERR582377","WSEA","Thailand","Asia"
"ERR582379","WSEA","Thailand","Asia"
"ERR582383","WSEA","Thailand","Asia"
"ERR582384","WSEA","Thailand","Asia"
"ERR582385","WSEA","Thailand","Asia"
"ERR586081","WAF","Ghana","Africa"
"ERR586085","WAF","Ghana","Africa"
"ERR586091","WAF","Ghana","Africa"
"ERR586095","WAF","Ghana","Africa"
"ERR586097","WAF","Ghana","Africa"
"ERR586098","WAF","Ghana","Africa"
"ERR586100","WAF","Ghana","Africa"
"ERR586102","WAF","Ghana","Africa"
"ERR586104","WAF","Ghana","Africa"
"ERR586111","WAF","Ghana","Africa"
"ERR586112","WAF","Ghana","Africa"
"ERR586113","WAF","Ghana","Africa"
"ERR586114","WAF","Ghana","Africa"
"ERR586117","WAF","Ghana","Africa"
"ERR586128","WAF","Ghana","Africa"
"ERR586131","WAF","Ghana","Africa"
"ERR586132","WAF","Ghana","Africa"
"ERR586133","WAF","Ghana","Africa"
"ERR586137","WAF","Ghana","Africa"
"ERR586145","WAF","Ghana","Africa"
"ERR586146","WAF","Ghana","Africa"
"ERR586152","WAF","Ghana","Africa"
"ERR586153","WAF","Ghana","Africa"
"ERR586157","WAF","Ghana","Africa"
"ERR586161","WAF","Ghana","Africa"
"ERR586171","WAF","Ghana","Africa"
"ERR586172","WAF","Ghana","Africa"
"ERR586177","WAF","Ghana","Africa"
"ERR586179","WAF","Ghana","Africa"
"ERR586189","WAF","Ghana","Africa"
"ERR586192","WAF","Ghana","Africa"
"ERR586193","WAF","Ghana","Africa"
"ERR586197","WAF","Ghana","Africa"
"ERR586200","WAF","Ghana","Africa"
"ERR586201","WAF","Ghana","Africa"
"ERR586203","WAF","Ghana","Africa"
"ERR586204","WAF","Ghana","Africa"
"ERR586206","WAF","Ghana","Africa"
"ERR586209","WAF","Ghana","Africa"
"ERR586210","WAF","Ghana","Africa"
"ERR586211","WAF","Ghana","Africa"
"ERR586212","WAF","Ghana","Africa"
"ERR586216","WAF","Ghana","Africa"
