"Sample","PC1","PC2","PC3","Sample_id","Country","Year","Country_Origin"
"SRR1562974",17.1981989608698,0.229585825823042,4.45652495669798,"Thailand_VKPR-11","Thailand",2013,"Thailand"
"SRR1562975",-18.7657293861309,4.48626469626041,-0.864996017121988,"Colombia_30102100439","Colombia",2012,"Colombia"
"SRR1564529",11.7447941683917,1.9890673968476,1.34331446414972,"Myanmar_LZCH-4","Myanmar",2013,"Myanmar"
"SRR1564547",10.0272603559246,-1.64713935429354,2.5983123622307,"Myanmar_NB-16","Myanmar",NA,"Myanmar"
"SRR1564577",12.5614370667721,1.31926513612416,4.07175708625235,"Myanmar_NB-13-1","Myanmar",NA,"Myanmar"
"SRR1564630",-19.6869587665329,11.9400073145111,-0.724024452280535,"Peru3133","Peru",2011,"Peru"
"SRR1564660",-18.508214117906,5.56388164177678,0.327078461678478,"Colombia_30102100489","Colombia",2013,"Colombia"
"SRR1564665",-19.4605805147813,6.31375177491928,-0.307388376012677,"Colombia_30102100488","Colombia",2013,"Colombia"
"SRR1564670",-17.7401766262804,5.43862948094898,1.64992180328579,"Colombia_30102100448","Colombia",2012,"Colombia"
"SRR1567977",-18.5162921366616,3.07175133897685,0.452355795621125,"Colombia_30102100441-A","Colombia",2012,"Colombia"
"SRR1568013",12.5246301734755,1.21147033598377,4.7338701464953,"Myanmar_NB-17","Myanmar",2012,"Myanmar"
"SRR1568077",-25.3375905476494,-27.8896176916241,1.38047496571075,"Mexico_0202","Mexico",2002,"Mexico"
"SRR1568103",15.552625922336,-0.916249477997488,1.80567633213198,"Thailand_VKBT-98","Thailand",2013,"Thailand"
"SRR1568110",-23.8554147252813,-22.7796743589214,0.483121906888005,"Mexico_2008","Mexico",2008,"Mexico"
"SRR1568112",-19.5110873009824,4.02737377555701,0.921704580389395,"Colombia_30102100504","Colombia",2013,"Colombia"
"SRR1568114",12.2632376535158,-0.897633681615488,4.33450070923672,"Myanmar_LZCH-20","Myanmar",2013,"Myanmar"
"SRR1568117",-15.8255388185925,7.3230114889968,1.29847864320744,"Peru4023","Peru",2012,"Peru"
"SRR1568118",-20.6517528408762,5.20958512339368,0.346211291928412,"Colombia_30102100446","Colombia",2012,"Colombia"
"SRR1568122",-19.2059020990454,10.3446997264185,1.25609537818702,"Peru872","Peru",NA,"Peru"
"SRR1568123",-20.2209793984913,8.19151263933061,-0.641467481483206,"Peru07","Peru",NA,"Peru"
"SRR1568126",-24.6095164309115,-26.0720435656304,0.519839270765318,"Mexico_11402","Mexico",2002,"Mexico"
"SRR1568127",-18.4139141271478,-0.629042129231823,-1.33523322868728,"Mexico_7401","Mexico",2001,"Mexico"
"SRR1568128",-18.6552485758482,4.88723682844786,1.11411853304229,"Colombia_30111110026","Colombia",2013,"Colombia"
"SRR1568149",-18.8403713281065,8.08106922558411,3.1987773933866,"Peru257","Peru",2013,"Peru"
"SRR1568153",-25.6972794665647,-30.353550766762,1.16693039364418,"Mexico_2202","Mexico",2002,"Mexico"
"SRR1568154",16.120312518831,0.170938763381283,5.44474553795401,"Thailand_VKTS-37","Thailand",2012,"Thailand"
"SRR1568155",-21.3056647173708,7.27452312358243,1.5415265879189,"Colombia_30102100438-B","Colombia",2012,"Colombia"
"SRR1568158",-25.9218435339003,-31.8978372926646,1.36390519659889,"Mexico_1302","Mexico",2002,"Mexico"
"SRR1568160",-21.5324021272823,3.96689273830525,0.197595762565816,"Colombia_30102100486","Colombia",2013,"Colombia"
"SRR1568162",-21.1514579068334,7.35431645395015,1.19988714011954,"Peru2025","Peru",2010,"Peru"
"SRR1568163",-17.695842860138,10.319158075801,4.80949366155322,"Peru3043_D0","Peru",2011,"Peru"
"SRR1568166",-20.9646137686291,12.8524270612694,2.60136099807759,"Peru00622","Peru",2011,"Peru"
"SRR1568169",-21.7354310861283,4.99953695794141,-0.238089645384966,"Colombia_30102100490","Colombia",2013,"Colombia"
"SRR1568171",-20.0374507031481,3.49535074478751,-0.220136695769418,"Colombia_30102100437","Colombia",2012,"Colombia"
"SRR1568174",-19.1780490615874,8.76442963083595,3.41126607532361,"Peru262","Peru",2013,"Peru"
"SRR1568177",6.02790355310091,-0.738666705798302,-32.2690058011525,"PNG58","PNG",NA,"Papua New Guinea"
"SRR1568178",-20.0676820007184,15.0661956118076,2.84054793043155,"Peru99622","Peru",2011,"Peru"
"SRR1568180",16.1936387163006,-0.513588596329936,4.25003112684445,"Thailand_VKTS-45","Thailand",2012,"Thailand"
"SRR1568181",-24.0518075480804,-21.9588505351078,0.767017437744362,"Mexico_4304","Mexico",2004,"Mexico"
