"STRid","Pop"
"FALCIPARUM_STR_20149","Cameroon-Peru"
"FALCIPARUM_STR_28756","Cameroon-Peru"
"FALCIPARUM_STR_28816","Cameroon-Peru"
"FALCIPARUM_STR_38132","Cameroon-Peru"
"FALCIPARUM_STR_38241","Cameroon-Peru"
"FALCIPARUM_STR_40020","Cameroon-Peru"
"FALCIPARUM_STR_47423","Cameroon-Peru"
"FALCIPARUM_STR_63996","Cameroon-Peru"
"FALCIPARUM_STR_75482","Cameroon-Peru"
"FALCIPARUM_STR_100098","Cameroon-Thailand"
"FALCIPARUM_STR_73617","Cameroon-Thailand"
"FALCIPARUM_STR_95714","Cameroon-Thailand"
"FALCIPARUM_STR_80238","Cameroon-Thailand"
"FALCIPARUM_STR_10532","Cameroon-Thailand"
"FALCIPARUM_STR_33501","Cameroon-Thailand"
"FALCIPARUM_STR_28730","Cameroon-Thailand"
"FALCIPARUM_STR_38211","Cameroon-Thailand"
"FALCIPARUM_STR_51593","Cameroon-Thailand"
"FALCIPARUM_STR_70842","Cameroon-Thailand"
"FALCIPARUM_STR_95714","Cameroon-VietNam"
"FALCIPARUM_STR_73617","Cameroon-VietNam"
"FALCIPARUM_STR_28730","Cameroon-VietNam"
"FALCIPARUM_STR_45404","Cameroon-VietNam"
"FALCIPARUM_STR_28375","Cameroon-VietNam"
"FALCIPARUM_STR_45407","Cameroon-VietNam"
"FALCIPARUM_STR_70842","Cameroon-VietNam"
"FALCIPARUM_STR_10532","Cameroon-VietNam"
"FALCIPARUM_STR_19579","Cameroon-VietNam"
"FALCIPARUM_STR_100069","Cameroon-VietNam"
"FALCIPARUM_STR_4355","Colombia-Peru"
"FALCIPARUM_STR_4508","Colombia-Peru"
"FALCIPARUM_STR_4827","Colombia-Peru"
"FALCIPARUM_STR_4950","Colombia-Peru"
"FALCIPARUM_STR_5081","Colombia-Peru"
"FALCIPARUM_STR_5208","Colombia-Peru"
"FALCIPARUM_STR_5494","Colombia-Peru"
"FALCIPARUM_STR_10700","Colombia-Peru"
"FALCIPARUM_STR_10835","Colombia-Peru"
"FALCIPARUM_STR_10889","Colombia-Peru"
"FALCIPARUM_STR_38162","CongoDR-Bangladesh"
"FALCIPARUM_STR_58601","CongoDR-Bangladesh"
"FALCIPARUM_STR_9636","CongoDR-Bangladesh"
"FALCIPARUM_STR_10803","CongoDR-Bangladesh"
"FALCIPARUM_STR_10532","CongoDR-Bangladesh"
"FALCIPARUM_STR_69274","CongoDR-Bangladesh"
"FALCIPARUM_STR_63794","CongoDR-Bangladesh"
"FALCIPARUM_STR_42790","CongoDR-Bangladesh"
"FALCIPARUM_STR_21368","CongoDR-Bangladesh"
"FALCIPARUM_STR_102916","CongoDR-Bangladesh"
"FALCIPARUM_STR_38196","CongoDR-Benin"
"FALCIPARUM_STR_14854","CongoDR-Benin"
"FALCIPARUM_STR_38102","CongoDR-Benin"
"FALCIPARUM_STR_38117","CongoDR-Benin"
"FALCIPARUM_STR_16855","CongoDR-Benin"
"FALCIPARUM_STR_28381","CongoDR-Benin"
"FALCIPARUM_STR_38241","CongoDR-Benin"
"FALCIPARUM_STR_28262","CongoDR-Benin"
"FALCIPARUM_STR_28387","CongoDR-Benin"
"FALCIPARUM_STR_87824","CongoDR-Benin"
"FALCIPARUM_STR_99848","CongoDR-Cambodia"
"FALCIPARUM_STR_28730","CongoDR-Cambodia"
"FALCIPARUM_STR_45404","CongoDR-Cambodia"
"FALCIPARUM_STR_100098","CongoDR-Cambodia"
"FALCIPARUM_STR_102916","CongoDR-Cambodia"
"FALCIPARUM_STR_21538","CongoDR-Cambodia"
"FALCIPARUM_STR_8856","CongoDR-Cambodia"
"FALCIPARUM_STR_73617","CongoDR-Cambodia"
"FALCIPARUM_STR_28375","CongoDR-Cambodia"
"FALCIPARUM_STR_40112","CongoDR-Cambodia"
"FALCIPARUM_STR_38180","CongoDR-Cameroon"
"FALCIPARUM_STR_38241","CongoDR-Cameroon"
"FALCIPARUM_STR_38102","CongoDR-Cameroon"
"FALCIPARUM_STR_38068","CongoDR-Cameroon"
"FALCIPARUM_STR_21627","CongoDR-Cameroon"
"FALCIPARUM_STR_1204","CongoDR-Cameroon"
"FALCIPARUM_STR_38358","CongoDR-Cameroon"
"FALCIPARUM_STR_38196","CongoDR-Cameroon"
"FALCIPARUM_STR_69886","CongoDR-Cameroon"
"FALCIPARUM_STR_52441","CongoDR-Cameroon"
"FALCIPARUM_STR_15081","CongoDR-Colombia"
"FALCIPARUM_STR_21390","CongoDR-Colombia"
"FALCIPARUM_STR_28446","CongoDR-Colombia"
"FALCIPARUM_STR_28751","CongoDR-Colombia"
"FALCIPARUM_STR_31262","CongoDR-Colombia"
"FALCIPARUM_STR_31650","CongoDR-Colombia"
"FALCIPARUM_STR_85311","CongoDR-Colombia"
"FALCIPARUM_STR_86508","CongoDR-Colombia"
"FALCIPARUM_STR_90428","CongoDR-Colombia"
"FALCIPARUM_STR_86511","CongoDR-Colombia"
"FALCIPARUM_STR_44287","CongoDR-Ethiopia"
"FALCIPARUM_STR_84610","CongoDR-Ethiopia"
"FALCIPARUM_STR_98885","CongoDR-Ethiopia"
"FALCIPARUM_STR_99481","CongoDR-Ethiopia"
"FALCIPARUM_STR_85496","CongoDR-Ethiopia"
"FALCIPARUM_STR_46920","CongoDR-Ethiopia"
"FALCIPARUM_STR_38211","CongoDR-Ethiopia"
"FALCIPARUM_STR_38358","CongoDR-Ethiopia"
"FALCIPARUM_STR_63433","CongoDR-Ethiopia"
"FALCIPARUM_STR_52664","CongoDR-Ethiopia"
"FALCIPARUM_STR_38196","CongoDR-Gambia"
"FALCIPARUM_STR_21627","CongoDR-Gambia"
"FALCIPARUM_STR_38102","CongoDR-Gambia"
"FALCIPARUM_STR_18612","CongoDR-Gambia"
"FALCIPARUM_STR_2070","CongoDR-Gambia"
"FALCIPARUM_STR_91529","CongoDR-Gambia"
"FALCIPARUM_STR_38358","CongoDR-Gambia"
"FALCIPARUM_STR_47210","CongoDR-Gambia"
"FALCIPARUM_STR_40639","CongoDR-Gambia"
"FALCIPARUM_STR_17333","CongoDR-Gambia"
"FALCIPARUM_STR_38196","CongoDR-Ghana"
"FALCIPARUM_STR_17333","CongoDR-Ghana"
"FALCIPARUM_STR_38241","CongoDR-Ghana"
"FALCIPARUM_STR_38102","CongoDR-Ghana"
"FALCIPARUM_STR_18612","CongoDR-Ghana"
"FALCIPARUM_STR_38117","CongoDR-Ghana"
"FALCIPARUM_STR_52441","CongoDR-Ghana"
"FALCIPARUM_STR_38219","CongoDR-Ghana"
"FALCIPARUM_STR_83532","CongoDR-Ghana"
"FALCIPARUM_STR_38358","CongoDR-Ghana"
"FALCIPARUM_STR_38196","CongoDR-Guinea"
"FALCIPARUM_STR_21627","CongoDR-Guinea"
"FALCIPARUM_STR_38102","CongoDR-Guinea"
"FALCIPARUM_STR_38241","CongoDR-Guinea"
"FALCIPARUM_STR_18612","CongoDR-Guinea"
"FALCIPARUM_STR_17333","CongoDR-Guinea"
"FALCIPARUM_STR_40639","CongoDR-Guinea"
"FALCIPARUM_STR_34434","CongoDR-Guinea"
"FALCIPARUM_STR_96947","CongoDR-Guinea"
"FALCIPARUM_STR_52441","CongoDR-Guinea"
"FALCIPARUM_STR_38196","CongoDR-IvoryCoast"
"FALCIPARUM_STR_17333","CongoDR-IvoryCoast"
"FALCIPARUM_STR_38241","CongoDR-IvoryCoast"
"FALCIPARUM_STR_38102","CongoDR-IvoryCoast"
"FALCIPARUM_STR_18612","CongoDR-IvoryCoast"
"FALCIPARUM_STR_38219","CongoDR-IvoryCoast"
"FALCIPARUM_STR_40639","CongoDR-IvoryCoast"
"FALCIPARUM_STR_52441","CongoDR-IvoryCoast"
"FALCIPARUM_STR_28262","CongoDR-IvoryCoast"
"FALCIPARUM_STR_49922","CongoDR-IvoryCoast"
"FALCIPARUM_STR_38211","CongoDR-Kenya"
"FALCIPARUM_STR_38197","CongoDR-Kenya"
"FALCIPARUM_STR_38162","CongoDR-Kenya"
"FALCIPARUM_STR_38102","CongoDR-Kenya"
"FALCIPARUM_STR_38241","CongoDR-Kenya"
"FALCIPARUM_STR_38019","CongoDR-Kenya"
"FALCIPARUM_STR_38020","CongoDR-Kenya"
"FALCIPARUM_STR_55394","CongoDR-Kenya"
"FALCIPARUM_STR_38068","CongoDR-Kenya"
"FALCIPARUM_STR_69886","CongoDR-Kenya"
"FALCIPARUM_STR_45404","CongoDR-Laos"
"FALCIPARUM_STR_8856","CongoDR-Laos"
"FALCIPARUM_STR_95714","CongoDR-Laos"
"FALCIPARUM_STR_100098","CongoDR-Laos"
"FALCIPARUM_STR_28375","CongoDR-Laos"
"FALCIPARUM_STR_102916","CongoDR-Laos"
"FALCIPARUM_STR_73617","CongoDR-Laos"
"FALCIPARUM_STR_53220","CongoDR-Laos"
"FALCIPARUM_STR_70842","CongoDR-Laos"
"FALCIPARUM_STR_10532","CongoDR-Laos"
"FALCIPARUM_STR_31184","CongoDR-Madagascar"
"FALCIPARUM_STR_22341","CongoDR-Madagascar"
"FALCIPARUM_STR_38196","CongoDR-Madagascar"
"FALCIPARUM_STR_38211","CongoDR-Madagascar"
"FALCIPARUM_STR_38180","CongoDR-Madagascar"
"FALCIPARUM_STR_22246","CongoDR-Madagascar"
"FALCIPARUM_STR_38182","CongoDR-Madagascar"
"FALCIPARUM_STR_28756","CongoDR-Madagascar"
"FALCIPARUM_STR_38241","CongoDR-Madagascar"
"FALCIPARUM_STR_46477","CongoDR-Madagascar"
"FALCIPARUM_STR_38211","CongoDR-Malawi"
"FALCIPARUM_STR_38197","CongoDR-Malawi"
"FALCIPARUM_STR_31184","CongoDR-Malawi"
"FALCIPARUM_STR_38162","CongoDR-Malawi"
"FALCIPARUM_STR_38241","CongoDR-Malawi"
"FALCIPARUM_STR_71594","CongoDR-Malawi"
"FALCIPARUM_STR_71064","CongoDR-Malawi"
"FALCIPARUM_STR_71247","CongoDR-Malawi"
"FALCIPARUM_STR_38358","CongoDR-Malawi"
"FALCIPARUM_STR_71082","CongoDR-Malawi"
"FALCIPARUM_STR_38196","CongoDR-Mali"
"FALCIPARUM_STR_38241","CongoDR-Mali"
"FALCIPARUM_STR_17333","CongoDR-Mali"
"FALCIPARUM_STR_18612","CongoDR-Mali"
"FALCIPARUM_STR_38102","CongoDR-Mali"
"FALCIPARUM_STR_34434","CongoDR-Mali"
"FALCIPARUM_STR_40639","CongoDR-Mali"
"FALCIPARUM_STR_52441","CongoDR-Mali"
"FALCIPARUM_STR_38219","CongoDR-Mali"
"FALCIPARUM_STR_83532","CongoDR-Mali"
"FALCIPARUM_STR_38196","CongoDR-Mauritania"
"FALCIPARUM_STR_38241","CongoDR-Mauritania"
"FALCIPARUM_STR_34434","CongoDR-Mauritania"
"FALCIPARUM_STR_83532","CongoDR-Mauritania"
"FALCIPARUM_STR_38102","CongoDR-Mauritania"
"FALCIPARUM_STR_21627","CongoDR-Mauritania"
"FALCIPARUM_STR_18612","CongoDR-Mauritania"
"FALCIPARUM_STR_40639","CongoDR-Mauritania"
"FALCIPARUM_STR_91529","CongoDR-Mauritania"
"FALCIPARUM_STR_49093","CongoDR-Mauritania"
